,0
0,0.0
1,3.9333036
2,0.0
3,0.36549306
4,0.0
5,0.0
6,0.0
7,0.039996624
8,0.4905975
9,0.17268991
10,0.0
11,0.10984278
12,0.0
13,0.6912143
14,0.0
15,0.29462934
16,0.0
17,0.0
18,0.9427614
19,0.045071125
20,0.16072416
21,0.2640295
22,0.2638948
23,0.10500336
24,0.0
25,0.040368557
26,0.40237284
27,0.089788914
28,0.62635565
29,0.27569222
30,0.029169798
31,0.0
32,0.25528193
33,0.0
34,0.2841735
35,0.3357029
36,0.0
37,0.0
38,0.25164294
39,0.0
40,0.28124166
41,0.024688005
42,0.14189243
43,0.2575121
44,0.0
45,0.75554323
46,0.0
47,0.0
