,0
0,0.0
1,0.0
2,16.45288
3,11.011769
4,0.0
5,0.0
6,0.0
7,0.0
8,1.4625397
9,0.117370605
10,0.0
11,0.0
12,0.0
13,0.0
14,0.65260124
15,0.0
16,0.32312202
17,7.568842
18,0.5307827
19,0.0
20,0.6162739
21,0.0
22,37.7189
23,0.0
24,0.0
25,8.340452
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
