,0
0,0.0
1,3.092852
2,1.3293846
3,0.08597398
4,1.735836
5,0.55070925
6,0.8123274
7,0.0
8,1.5141647
9,0.0
10,3.2032235
11,1.2656333
12,0.0
13,3.1175337
14,2.1649776
15,2.866647
16,1.5107632
17,0.565779
18,0.0
19,0.0
20,0.0
21,0.09835124
22,0.8165951
23,0.0
24,1.5988079
25,0.0
26,0.0
27,0.0
28,1.0994556
29,0.0
30,0.854794
31,0.0
32,0.0
33,0.0
34,0.0
35,9.7308655
36,0.0
37,2.5747685
38,1.2203755
39,0.0
40,0.0
41,4.4454937
42,1.1138988
43,0.784992
44,0.0
45,0.0
46,0.3642378
47,0.0
48,0.23823166
49,0.112576485
50,0.5687475
51,0.21272612
52,0.0
53,0.0
54,0.6641488
55,1.3864398
56,0.0
57,0.0
58,1.0858741
59,0.0
60,0.6163449
61,0.0
62,2.6787186
63,0.0
64,0.26404643
65,1.2812884
66,0.0
67,0.9189844
68,0.029336333
69,0.0
70,0.0
71,5.763014
72,0.061083913
73,0.073830605
74,0.0
75,0.0
76,0.4969008
77,0.0
78,0.5186714
79,1.8327724
80,0.0
81,1.4208405
82,0.0
83,0.0
84,0.0
85,0.0
86,0.48131037
87,0.8186269
88,0.8730484
89,0.0
90,1.1718233
91,0.93779874
92,0.0
93,0.0
94,0.3705505
95,0.0
96,9.360834
97,0.0
98,4.543556
99,0.27227604
100,0.0
101,4.2392015
102,0.0
103,1.3236868
104,0.69699764
105,1.0413847
106,0.0
107,0.0
108,3.7428808
109,0.6099279
110,0.0
111,0.0
112,1.0830305
113,0.0
114,2.2582297
115,0.0
116,1.4456854
117,0.19180846
118,4.0191193
119,3.1679635
120,2.281364
121,1.0732014
122,0.0
123,0.0
124,0.0
125,2.0249484
126,1.347642
127,0.0
128,2.5426664
129,0.0
130,0.0
131,0.0
132,0.0
133,0.00855875
134,0.0
135,0.0
136,0.0
137,0.24083602
138,0.0
139,6.250721
140,0.34130597
141,0.3399017
142,0.13999107
143,0.0
144,0.032273144
145,0.0
146,0.0
147,0.10131969
148,1.9761558
149,3.4198244
150,0.4072641
151,0.0
152,0.33425498
153,0.0
154,0.0
155,0.0
156,0.0
157,2.1803641
158,0.0906831
159,2.8272896
160,0.4162122
161,0.0
162,0.60921705
163,0.0
164,0.0
165,2.4611292
166,0.0
167,0.0
168,4.477109
169,1.9599805
170,0.0
171,0.0
172,5.3306627
173,0.0
174,0.0
175,0.0
176,0.8911427
177,0.0
178,1.7053037
179,0.0
180,0.0
181,2.1961777
182,0.0
183,1.8487159
184,0.16975325
185,0.24514908
186,0.0
187,0.0
188,0.6224495
189,0.0
190,1.1086895
191,0.0
192,1.8397417
193,0.0
194,0.0
195,0.0
196,2.6354237
197,2.0079584
198,0.0
199,0.0
200,8.355016
201,0.0
202,1.464262
203,6.0024443
204,0.0
205,0.0
206,4.959016
207,0.0
208,0.0
209,4.2020297
210,0.0
211,1.9620562
212,1.9303379
