,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,8.654638
9,0.5303364
10,4.0808487
11,0.0
12,0.0
13,5.3554306
14,6.2380085
15,0.0
16,0.0
17,11.699192
18,0.0
19,24.265276
20,0.0
21,0.0
22,0.0
23,5.92638
24,22.6656
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,1.432888
34,0.0
35,0.0
36,5.294696
37,0.0
38,0.0
39,11.773587
40,2.8569508
41,0.0
42,0.0
