,0
0,0.0
1,2.168299
2,0.7758224
3,0.8287766
4,0.0
5,0.24790049
6,0.0040023327
7,0.0
8,0.03043747
9,0.8349228
10,0.0
11,0.0
12,0.8363197
13,0.71232533
14,0.0
15,0.7155607
16,0.0
17,0.6943102
18,0.47480536
19,0.0002808571
20,0.06675053
21,0.0
22,0.18908167
23,0.02987957
24,0.0
25,0.6299195
26,0.0
27,0.48504138
28,0.2027731
29,0.0
30,0.0
31,0.0
32,0.54649687
33,0.27776003
34,0.0
35,0.0
36,0.42358398
37,0.058460236
38,0.29573965
39,0.0
40,0.0
41,0.14522696
42,0.0
43,0.15549564
44,0.0
45,0.0447042
46,0.1643238
47,0.0
48,0.45743728
49,0.33521628
50,0.0
51,0.4833889
52,0.0
53,0.7997613
54,0.0
55,0.1652329
56,0.19063878
57,0.013810635
58,0.0
59,0.297714
60,0.0
61,1.4222984
62,0.0
63,0.0
64,0.17441177
65,0.092306614
66,0.0
67,0.5492091
68,0.0
69,0.0
70,0.069289684
71,0.2241025
72,0.0
73,0.11942792
74,0.0
75,0.33373117
76,0.0
77,0.0
78,0.34720516
79,0.0
80,0.0
81,0.57706547
82,0.0
83,1.1275911
84,0.0
85,0.47323918
86,0.0
87,0.0938921
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.28352356
94,0.23734426
95,0.8206644
96,0.12193203
97,0.0
98,0.16344619
99,0.0
100,0.0
101,1.4778113
102,0.0
