,0
0,0.0
1,1.9412754
2,0.0
3,0.0
4,0.0
5,1.5103781
6,0.0
7,1.1051209
8,0.0
9,0.0
10,0.0
11,0.0
12,4.8088636
13,0.0
14,2.3609622
15,0.0
16,3.0737162
17,0.0
18,0.0
19,4.729334
20,0.0
21,0.39053276
22,1.0910785
23,0.36846447
24,0.0
25,1.560392
26,1.3459878
27,0.0
28,0.28069282
29,0.0
30,0.59406877
31,0.12979245
32,0.0
33,0.7556329
34,0.505239
35,0.0018892288
36,0.0
37,0.0
38,1.4446187
39,0.0
40,0.0
41,0.0
42,0.0
43,1.2551349
44,0.0
45,1.0813619
46,0.0
47,1.1288395
48,0.1014843
49,0.0
50,0.0
51,1.2230015
52,0.0
53,0.82611513
54,0.0
55,2.8408494
56,0.0
57,0.0
58,0.071621895
59,0.033164978
60,0.0
61,0.7442255
62,0.2678702
63,0.3139119
64,0.0
65,0.0
66,0.79863286
67,0.0
68,0.0
69,1.135113
70,0.83949924
71,0.0
72,0.35338354
73,0.0
74,1.6920764
75,0.0
76,0.0
77,0.0
78,0.0
79,4.9136844
80,3.9376059
81,0.0
82,0.0
83,0.0
84,7.1553125
85,0.0
86,3.1376386
87,4.897061
88,0.0
89,0.0
90,2.4804993
91,0.9166945
92,0.0
93,3.621466
94,0.0
95,1.1606245
96,1.0474062
97,0.53414035
98,0.0
99,0.0
100,3.6465273
101,0.42098224
102,0.0
103,0.0
104,1.022989
105,0.0
106,3.5864577
107,0.0
108,1.4198176
109,0.22818112
110,3.9702024
111,3.1100128
112,1.2312813
113,1.0931332
114,0.0
115,0.0
116,0.0
117,2.2542434
118,2.0313687
119,0.0
120,2.6624312
121,0.0
122,0.0
123,0.0
124,0.4086722
125,1.1341944
126,2.8149638
127,0.0
128,1.4715546
129,0.0
130,4.128767
131,0.0
132,1.7433777
133,0.8290126
134,0.025945187
135,0.122490406
136,0.0
137,0.28340042
138,0.0
139,0.0
140,0.0
141,3.7288828
142,0.09771682
143,0.0
144,1.3345802
145,0.0
146,0.13291168
147,0.0
148,0.31390047
149,1.1937325
150,0.0
151,0.0
152,4.2892575
153,0.57472193
154,0.0
155,2.448152
156,5.1326556
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.18435252
164,0.0
165,0.5189514
166,0.0
167,1.803342
168,0.0
169,3.6008768
170,0.0
171,0.0
172,0.08074747
173,2.933272
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,3.1064897
180,0.09458685
181,2.0028603
182,0.0
183,0.0
184,3.3691902
185,0.0
186,2.7334068
187,3.9834225
188,0.0
189,0.0
190,2.3765738
191,0.0
192,0.0
193,3.2914104
194,0.0
195,5.19588
196,1.5608828
197,0.0
198,1.7921164
199,3.6299353
200,0.0
201,0.0
202,2.6412802
203,0.0
204,0.0
205,1.2224123
206,0.0
207,4.9759502
208,0.0
209,3.2416077
210,2.7814226
211,3.4593923
212,0.0
