,0
0,0.0
1,2.5131745
2,0.21871185
3,0.0
4,0.0
5,0.0
6,0.7345996
7,0.0
8,0.0
9,0.10644674
10,0.0
11,0.12543368
12,0.0
13,0.55076265
14,1.1892717
15,0.0
16,0.0
17,0.6201837
18,0.0
19,0.5814483
20,0.0
21,0.9709344
22,0.20801711
23,0.0
24,0.0
25,0.0
26,0.2954681
27,0.06539297
28,0.0
29,0.45411015
30,0.0
31,0.26610398
32,0.0
33,0.10975003
34,0.04261303
35,0.0
36,0.5035348
37,0.28942513
38,0.0
39,0.16793203
40,0.7305243
41,0.0
42,0.0
43,0.41825247
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,46.49871
73,12.348143
74,0.0
75,0.0
76,0.08516526
77,1.335042
78,0.0
79,0.0
80,0.0
81,0.6665206
82,0.0
83,0.13953018
84,0.8467064
